player,bref_link,lyric
José Canseco,https://www.baseball-reference.com/players/c/cansejo01.shtml,José Canseco
Randy Byers,https://www.baseball-reference.com/players/b/byersra01.shtml,Byers
Andre Dawson,https://www.baseball-reference.com/players/d/dawsoan01.shtml,Dawson
Derrek Lee,https://www.baseball-reference.com/players/l/leede02.shtml,Lee
Pat Light,https://www.baseball-reference.com/players/l/lightpa01.shtml,Light
Tony Watson,https://www.baseball-reference.com/players/w/watsoto01.shtml,Watson
Bill Prough,https://www.baseball-reference.com/players/p/prougbi01.shtml,Prough
Wheezer Dell,https://www.baseball-reference.com/players/d/dellwh01.shtml,Dell
Cliff Lee,https://www.baseball-reference.com/players/l/leecl02.shtml,Lee
David Hale,https://www.baseball-reference.com/players/h/haleda02.shtml,Hale
Manny Acta,https://www.baseball-reference.com/managers/actama99.shtml,Acta
Twink Twining,https://www.baseball-reference.com/players/t/twinitw01.shtml,Twining
Bill Lasley,https://www.baseball-reference.com/players/l/laslebi01.shtml,Lasley
Steve Mintz,https://www.baseball-reference.com/players/m/mintzst01.shtml,Mintz
Chin-lung Hu,https://www.baseball-reference.com/players/h/huch01.shtml,Hu
Bob Baird,https://www.baseball-reference.com/players/b/bairdbo01.shtml,Baird
John Strike,https://www.baseball-reference.com/players/s/strikjo01.shtml,Strike
Bart Cantz,https://www.baseball-reference.com/players/c/cantzba01.shtml,Cantz
Harry Bright,https://www.baseball-reference.com/players/b/brighha01.shtml,Bright
Dick Starr,https://www.baseball-reference.com/players/s/starrdi01.shtml,Starr
George Throop,https://www.baseball-reference.com/players/t/throoge01.shtml,Throop
Paul Powell,https://www.baseball-reference.com/players/p/powelpa01.shtml,Paul Powell
Joe Lis,https://www.baseball-reference.com/players/l/lisjo01.shtml,Lis
Stu Flythe,https://www.baseball-reference.com/players/f/flythst01.shtml,Flythe
Rougned Odor,https://www.baseball-reference.com/players/o/odorro01.shtml,Odor
Dick Rand,https://www.baseball-reference.com/players/r/randdi01.shtml,Rand
Curtis Partch,https://www.baseball-reference.com/players/p/partccu01.shtml,Partch
Rickie Weeks,https://www.baseball-reference.com/players/w/weeksri01.shtml,Weeks
Billy Koch,https://www.baseball-reference.com/players/k/kochbi01.shtml,Koch
Favel Wordsworth,https://www.baseball-reference.com/players/w/wordsfa01.shtml,Wordsworth
Zac Gallen,https://www.baseball-reference.com/players/g/galleza01.shtml,Gallen
Braxton Lee,https://www.baseball-reference.com/players/l/leebr01.shtml,Lee
Huston Street,https://www.baseball-reference.com/players/s/streehu01.shtml,Street
Brandon Mann,https://www.baseball-reference.com/players/m/mannbr01.shtml,Mann
Dean Anna,https://www.baseball-reference.com/players/a/annade01.shtml,Anna
Pat Rockett,https://www.baseball-reference.com/players/r/rockepa01.shtml,Rockett
George Rettger,https://www.baseball-reference.com/players/r/rettgge01.shtml,Rettger
David Dahl,https://www.baseball-reference.com/players/d/dahlda01.shtml,Dahl
Barry Bonds,https://www.baseball-reference.com/players/b/bondsba01.shtml,Bonds
Jim Bruske,https://www.baseball-reference.com/players/b/bruskji01.shtml,Bruske
Curtis King,https://www.baseball-reference.com/players/k/kingcu01.shtml,King
Brandon Inge,https://www.baseball-reference.com/players/i/ingebr01.shtml,Inge
Willie Eyre,https://www.baseball-reference.com/players/e/eyrewi01.shtml,Eyre
Babe Ruth,https://www.baseball-reference.com/players/r/ruthba01.shtml,Babe Ruth
Steve Toole,https://www.baseball-reference.com/players/t/toolest01.shtml,Toole
Lon Knight,https://www.baseball-reference.com/managers/knighlo01.shtml,Lon Knight
Joe Thatcher,https://www.baseball-reference.com/players/t/thatcjo01.shtml,Thatcher
Wally Flager,https://www.baseball-reference.com/players/f/flagewa01.shtml,Flager
Kurt Stillwell,https://www.baseball-reference.com/players/s/stillku01.shtml,Stillwell
José De La Torre,https://www.baseball-reference.com/players/d/delatjo01.shtml,José De La Torre
Al Spangler,https://www.baseball-reference.com/players/s/spangal01.shtml,Spangler
Jimmy Bannon,https://www.baseball-reference.com/players/b/bannoji01.shtml,Bannon
Rich Yett,https://www.baseball-reference.com/players/y/yettri01.shtml,Yett
Jake Cave,https://www.baseball-reference.com/players/c/caveja01.shtml,Cave
Pete Orr,https://www.baseball-reference.com/players/o/orrpe01.shtml,Orr
Ryan Dull,https://www.baseball-reference.com/players/d/dullry01.shtml,Dull
Doc Land,https://www.baseball-reference.com/players/l/landdo01.shtml,Land
Rafael Devers,https://www.baseball-reference.com/players/d/deverra01.shtml,Devers
David Freese,https://www.baseball-reference.com/players/f/freesda01.shtml,Freese
Pat Mahomes,https://www.baseball-reference.com/players/m/mahompa01.shtml,Pat Mahomes
Miguel Sanó,https://www.baseball-reference.com/players/s/sanomi01.shtml,Sanó
Danny Graves,https://www.baseball-reference.com/players/g/graveda01.shtml,Graves
