words,note_length
José Canseco,1.4375
Byers,0.1875
Dawson,0.5
Lee,0.25
Light,0.5
Watson,0.25
Prough,0.21875
Dell,0.03125
Lee,0.375
Hale,0.5
Acta,0.25
Twining,0.5
Lasley,0.5
Mintz,0.25
Hu,0.125
Baird,0.0625
Strike,0.25
Cantz,0.25
Bright,0.25
Starr,0.5
Throop,0.125
Paul Powell,0.5625
Lis,0.25
Flythe,0.5
Odor,0.25
Rand,0.25
Partch,0.125
Weeks,0.25
Koch,0.5
Wordsworth,0.25
Gallen,0.5
Lee,0.25
Street,0.25
Mann,0.25
Anna,0.25
Rockett,0.5
Rettger,0.75
Dahl,0.125
Bonds,0.125
Bruske,0.25
King,0.25
Inge,0.25
Eyre,0.5
Babe Ruth,0.5
Toole,0.125
Lon Knight,0.75
Thatcher,0.25
Flager,0.5
Stillwell,0.75
José De La Torre,1.25
Spangler,0.5
Bannon,0.5
Yett,0.25
Cave,0.5
Orr,0.125
Dull,0.125
Land,0.375
Devers,0.25
Freese,0.5
Pat Mahomes,0.5
Sanó,0.375
Graves,0.5
[end],0
